2022-02-02T23:17:50+01:00	WARN	Graceful Shutdown	gracefulshutdown/plugin.go:41	Received shutdown request - waiting (max 60) to finish processing ...
2022-02-03T15:12:05+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:07+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:08+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:09+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:10+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:11+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:13+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:14+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:15+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:16+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:17+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:19+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:20+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:21+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
2022-02-03T15:12:22+01:00	ERROR	NodeConn	client/connection.go:111	sending message to server (*txstream.MsgGetUnspentAliasOutput): write tcp 192.168.1.5:58578->78.47.230.146:5000: write: broken pipe
